Country;Month;Year;Purpose;Visitors
USA;12;2015;Visiting friends & relatives;9216
USA;12;2015;Business;1104
USA;12;2015;Education;560
USA;12;2015;Conferences & conventions;192
USA;12;2014;Holiday;18832
USA;12;2014;Visiting friends & relatives;8288
USA;12;2014;Business;1232
USA;12;2014;Education;496
USA;12;2014;Conferences & conventions;480
USA;12;2013;Holiday;16832
USA;12;2013;Visiting friends & relatives;8416
USA;12;2013;Business;1344
USA;12;2013;Education;608
USA;12;2013;Conferences & conventions;512
